assigned_folder,response_count_group,case_number,diagram_number,evaluator_ids,excel_rows,folder_relative_path,source_valid_diagram_folder,source_case_folder,renamed_evaluation_file,original_unbiased_diagram_name,llm_used,method,original_unbiased_relative_path,original_name_match_status
Evaluation C,2_responses,47,A,"26, 14","85, 128",Evaluation C/case_47_safehome_security_function/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_47_safehome_security_function,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_47_safehome_security_function/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,51,A,"26, 14","86, 129",Evaluation C/case_51_process_sale/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_51_process_sale,a.png,llama_3_1_8b_instruct__few_shot_repair__run_01.png,Llama 3.1 8B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_51_process_sale/llama_3_1_8b_instruct__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,54,A,"25, 2","77, 142",Evaluation C/case_54_weather_station_system/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_54_weather_station_system,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_54_weather_station_system/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,54,B,"25, 2","78, 144",Evaluation C/case_54_weather_station_system/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_54_weather_station_system,b.png,llama_3_1_8b_instruct__few_shot_repair__run_01.png,Llama 3.1 8B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_54_weather_station_system/llama_3_1_8b_instruct__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,67,A,"26, 14","87, 130",Evaluation C/case_67_atm_many_scenarios_1/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_67_atm_many_scenarios_1,a.png,qwen25_7b_instruct__rag_repair__run_01.png,Qwen 2.5 7B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_67_atm_many_scenarios_1/qwen25_7b_instruct__rag_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,70,A,"22, 28","113, 163",Evaluation C/case_70_atm_many_scenarios_7/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_70_atm_many_scenarios_7,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_70_atm_many_scenarios_7/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,70,B,"22, 28","114, 162",Evaluation C/case_70_atm_many_scenarios_7/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_70_atm_many_scenarios_7,b.png,qwen25_7b_instruct__rag_repair__run_01.png,Qwen 2.5 7B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_70_atm_many_scenarios_7/qwen25_7b_instruct__rag_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,80,A,"19, 18","93, 104",Evaluation C/case_80_staff_member_class/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_80_staff_member_class,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_80_staff_member_class/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,2_responses,80,B,"19, 18","94, 105",Evaluation C/case_80_staff_member_class/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_80_staff_member_class,b.png,mistral__rag_repair__run_01.png,Mistral,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_80_staff_member_class/mistral__rag_repair__run_01.png,matched_by_hash
Evaluation C,3_responses,1,A,"19, 2, 18","83, 96, 98",Evaluation C/case_01_healthcare_portal/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_01_healthcare_portal,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_01_healthcare_portal/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,3_responses,1,B,"19, 2, 18","88, 97, 99",Evaluation C/case_01_healthcare_portal/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_01_healthcare_portal,b.png,qwen25_7b_instruct__rag_repair__run_01.png,Qwen 2.5 7B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_01_healthcare_portal/qwen25_7b_instruct__rag_repair__run_01.png,matched_by_hash
Evaluation C,3_responses,52,A,"25, 28, 2","76, 165, 171",Evaluation C/case_52_microwave_oven/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_52_microwave_oven,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_52_microwave_oven/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,3_responses,59,A,"25, 28, 2","79, 149, 167",Evaluation C/case_59_atm_1/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_59_atm_1,a.png,deepseek_r1_14b__few_shot_repair__run_01.png,DeepSeek R1 14B,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_59_atm_1/deepseek_r1_14b__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,3_responses,59,B,"25, 28, 2","80, 160, 168",Evaluation C/case_59_atm_1/b.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_59_atm_1,b.png,llama_3_1_8b_instruct__few_shot_repair__run_01.png,Llama 3.1 8B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_59_atm_1/llama_3_1_8b_instruct__few_shot_repair__run_01.png,matched_by_hash
Evaluation C,3_responses,59,C,"25, 28, 2","81, 161, 169",Evaluation C/case_59_atm_1/c.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_59_atm_1,c.png,qwen25_7b_instruct__rag_repair__run_01.png,Qwen 2.5 7B Instruct,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_59_atm_1/qwen25_7b_instruct__rag_repair__run_01.png,matched_by_hash
Evaluation C,3_responses,65,A,"25, 28, 2","82, 164, 170",Evaluation C/case_65_plane/a.png,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed,case_65_plane,a.png,mistral__rag_repair__run_01.png,Mistral,Repair,results/plantuml_pipeline/valid_diagrams_by_case_repairs_newly_fixed/case_65_plane/mistral__rag_repair__run_01.png,matched_by_hash
